Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
Continente não especificado;8;Países não especificados;999;São Paulo;25;Aérea;1;2014;janeiro;1;6
África;1;África do Sul;2;São Paulo;25;Aérea;1;2013;janeiro;1;1212
África;1;Angola;6;São Paulo;25;Aérea;1;2013;janeiro;1;2112
África;1;Cabo Verde;35;São Paulo;25;Aérea;1;2013;janeiro;1;20
África;1;Nigéria;162;São Paulo;25;Aérea;1;2013;janeiro;1;73
África;1;Outros países;998;São Paulo;25;Aérea;1;2013;janeiro;1;1227
América Central e Caribe;2;Costa Rica;53;São Paulo;25;Aérea;1;2013;janeiro;1;427
América Central e Caribe;2;Cuba;55;São Paulo;25;Aérea;1;2013;janeiro;1;131
América Central e Caribe;2;Guatemala;84;São Paulo;25;Aérea;1;2013;janeiro;1;147
América Central e Caribe;2;Panamá;170;São Paulo;25;Aérea;1;2013;janeiro;1;276
América Central e Caribe;2;Outros países;998;São Paulo;25;Aérea;1;2013;janeiro;1;429
América do Norte;3;Canadá;38;São Paulo;25;Aérea;1;2013;janeiro;1;2981
América do Norte;3;Estados Unidos;68;São Paulo;25;Aérea;1;2013;janeiro;1;21679
América do Norte;3;México;148;São Paulo;25;Aérea;1;2013;janeiro;1;2816
América do Sul;4;Argentina;11;São Paulo;25;Aérea;1;2013;janeiro;1;48411
América do Sul;4;Bolívia;26;São Paulo;25;Aérea;1;2013;janeiro;1;4980
América do Sul;4;Chile;42;São Paulo;25;Aérea;1;2013;janeiro;1;12562
América do Sul;4;Colômbia;48;São Paulo;25;Aérea;1;2013;janeiro;1;3591
América do Sul;4;Equador;63;São Paulo;25;Aérea;1;2013;janeiro;1;909
América do Sul;4;Guiana Francesa;87;São Paulo;25;Aérea;1;2013;janeiro;1;0
América do Sul;4;Paraguai;173;São Paulo;25;Aérea;1;2013;janeiro;1;4087
América do Sul;4;Peru;174;São Paulo;25;Aérea;1;2013;janeiro;1;2962
América do Sul;4;Guiana;86;São Paulo;25;Aérea;1;2013;janeiro;1;6
América do Sul;4;Suriname;217;São Paulo;25;Aérea;1;2013;janeiro;1;10
América do Sul;4;Uruguai;234;São Paulo;25;Aérea;1;2013;janeiro;1;3948
América do Sul;4;Venezuela;238;São Paulo;25;Aérea;1;2013;janeiro;1;1967
Ásia;5;China;43;São Paulo;25;Aérea;1;2013;janeiro;1;1958
Ásia;5;Índia;113;São Paulo;25;Aérea;1;2013;janeiro;1;1038
Ásia;5;Israel;119;São Paulo;25;Aérea;1;2013;janeiro;1;1074
Ásia;5;Japão;122;São Paulo;25;Aérea;1;2013;janeiro;1;2986
Ásia;5;República da Coreia;184;São Paulo;25;Aérea;1;2013;janeiro;1;2943
Ásia;5;Outros países;998;São Paulo;25;Aérea;1;2013;janeiro;1;2017
Europa;6;Alemanha;4;São Paulo;25;Aérea;1;2013;janeiro;1;7740
Europa;6;Áustria;15;São Paulo;25;Aérea;1;2013;janeiro;1;894
Europa;6;Bélgica;21;São Paulo;25;Aérea;1;2013;janeiro;1;959
Europa;6;Dinamarca;57;São Paulo;25;Aérea;1;2013;janeiro;1;783
Europa;6;Espanha;67;São Paulo;25;Aérea;1;2013;janeiro;1;6755
Europa;6;Finlândia;73;São Paulo;25;Aérea;1;2013;janeiro;1;462
Europa;6;França;74;São Paulo;25;Aérea;1;2013;janeiro;1;6157
Europa;6;Grécia;81;São Paulo;25;Aérea;1;2013;janeiro;1;264
